ListingID,AmenityID
1,21
1,15
1,12
1,24
1,26
1,9
1,30
1,28
1,13
1,7
1,1
1,35
1,11
1,32
1,5
1,14
1,20
1,36
1,27
1,39
1,31
1,37
1,17
1,3
1,40
1,38
1,33
1,34
1,22
1,8
1,29
1,16
1,4
1,19
1,2
2,34
2,23
2,3
2,32
2,17
2,31
2,21
2,6
2,10
2,11
2,2
2,29
2,8
2,33
2,12
2,24
2,30
2,27
2,28
2,20
2,37
2,22
2,13
2,39
2,4
2,25
2,38
2,35
2,1
2,26
2,16
2,18
2,7
2,15
2,9
2,36
2,19
2,40
2,5
3,26
3,39
3,18
3,24
3,22
3,15
3,5
3,38
3,8
3,1
3,4
3,3
3,7
3,40
3,37
3,29
3,10
3,30
3,36
3,9
3,6
3,25
3,19
3,2
3,28
3,13
4,28
4,6
4,22
4,38
4,23
4,20
4,9
4,32
4,19
4,11
4,8
4,27
4,29
4,14
4,7
4,25
4,10
4,17
4,39
4,35
4,40
4,21
4,24
4,2
4,30
4,26
4,31
4,36
4,18
4,5
4,1
4,4
4,3
4,12
5,11
5,39
5,38
5,2
5,14
5,18
5,35
5,9
5,13
5,19
5,6
5,26
5,22
5,15
5,23
5,27
5,8
5,40
5,10
5,4
5,37
5,17
5,24
5,7
5,31
5,30
5,29
5,20
5,16
5,5
5,21
5,12
5,34
5,3
5,33
6,2
6,22
6,33
6,36
6,38
6,19
6,13
6,8
6,12
6,34
6,18
6,7
6,40
6,1
6,37
6,35
6,30
6,9
6,14
6,26
6,20
7,26
7,25
7,23
7,2
7,37
7,16
7,21
7,8
7,17
7,10
7,9
7,18
7,39
7,36
7,38
7,32
7,4
7,11
7,15
7,13
7,14
7,31
8,9
8,12
8,39
8,8
8,22
8,27
8,28
8,11
8,17
8,25
8,20
8,13
8,16
8,15
8,3
8,5
8,35
8,4
8,2
8,29
8,31
8,30
8,40
8,6
8,1
8,37
8,24
8,32
8,7
8,34
8,18
8,36
8,14
8,23
8,10
8,19
8,38
8,21
9,22
9,27
9,16
9,9
9,34
9,38
9,40
9,14
9,3
9,24
9,2
9,15
9,35
9,33
9,28
9,20
9,29
9,6
9,8
9,32
9,5
9,12
9,7
9,18
9,23
9,30
9,4
9,25
9,39
9,21
9,36
10,30
10,18
10,25
10,32
10,33
10,4
10,5
10,21
10,39
10,3
10,12
10,9
10,11
10,2
10,27
10,23
10,7
10,13
10,19
10,10
11,39
11,3
11,38
11,29
11,15
11,40
11,4
11,30
11,32
11,28
11,33
11,7
11,6
11,37
11,27
11,9
11,20
11,8
11,16
11,19
11,23
12,32
12,38
12,24
12,34
12,7
12,23
12,29
12,5
12,3
12,11
12,13
12,19
12,15
12,31
12,40
12,8
12,18
12,33
12,4
12,37
12,20
13,22
13,10
13,32
13,37
13,13
13,33
13,8
13,34
13,18
13,1
13,35
13,4
13,38
13,15
13,2
13,5
13,6
13,29
13,23
13,36
