ListingID,ListingTypeID,UserID,Title,IsActive,PricePerNight,MinNight,MaxGuests
1,4,342,Charming GuestHouse,1,21800,7,4
2,2,343,Beach House Lodge,1,7900,7,12
3,2,345,Rustic Retreat,0,53300,7,9
4,4,346,Deluxe Retreat,1,9900,7,6
5,4,347,Deluxe House,1,6000,7,3
6,4,348,Mountain Retreat Manor,1,30400,5,13
7,1,351,Exquisite Lodge,1,37900,1,109
8,1,353,Modern Lodge,1,9400,2,101
9,1,354,Moonlight Hotel,1,22400,3,56
10,4,355,Cozy Haven,1,59200,1,12
11,4,360,Moonlight Inn,1,29900,7,4
12,2,361,Beach House Inn,1,45500,5,12
13,2,362,Beach House Haven,1,61600,7,12
14,1,363,Beach House Oasis,1,22900,3,143
15,4,368,Mirage Hideaway,1,21000,6,4
16,2,369,Luxury Villa Cottage,1,53500,1,9
17,3,371,Beach House GuestHouse,1,6600,5,15
18,2,373,Beach House Inn,1,8400,1,8
19,3,374,Charming Inn,1,7000,5,14
20,3,375,Rustic GuestHouse,1,7400,3,21
21,2,376,Charming House,0,13700,6,2
22,1,378,Luxury Villa Oasis,1,5200,2,51
23,2,379,Modern Inn,1,11700,3,9
24,4,380,Charming Cottage,1,42300,1,3
25,4,381,Cosy Retreat,1,10700,2,13
26,3,382,Exalted Inn,1,10800,4,27
27,5,384,City Loft Inn,1,52600,1,12
28,4,386,Serene House,1,5900,3,4
29,4,387,Deluxe House,1,6300,6,2
30,3,390,Homely Inn,1,9000,3,18
31,4,392,Luxury Villa House,1,26500,6,5
32,5,394,Rustic House,1,44100,4,2
33,1,395,Deluxe Hotel,1,7200,6,145
34,1,396,City Loft Boutique Suites,1,8000,3,92
35,1,397,Homely Lodge,1,53600,2,122
36,4,400,Mirage Inn,1,7100,6,3
37,2,402,Mirage Lodge,1,41600,5,11
38,4,406,Balance Lodge,1,29800,6,7
39,2,408,Exquisite Retreat,1,56000,2,8
40,1,409,Homely Hotel,1,9600,6,114
41,4,410,Refresh Retreat,1,37800,2,6
42,3,415,Charming Retreat,1,9300,3,17
43,2,417,Moonlight Haven,1,43700,6,2
44,4,427,Rustic Haven,1,55500,3,5
45,3,428,Balance Cottage,1,23800,4,27
46,3,433,Grand Retreat,1,20200,6,21
47,1,438,Cosy Hotel,1,44600,7,123
48,1,439,Beach House Resort,1,38500,6,56
49,1,440,Cosy Retreat,1,9300,6,83
50,3,441,City Loft Manor,1,64100,3,23
51,2,444,Serene House,1,9100,5,6
52,1,445,Cosy Lodge,1,16500,5,91
53,2,446,Mountain Retreat GuestHouse,1,5300,1,3
54,4,447,Mountain Retreat Inn,1,31800,2,5
55,1,449,Mountain Retreat Resort,1,33800,7,75
56,4,450,Beach House House,1,26200,7,3
57,5,451,Grand Lodge,1,58200,2,11
58,4,454,City Loft Cottage,1,14300,2,7
59,3,455,Balance Lodge,1,5200,4,26
60,1,457,Refresh Boutique Residence,1,53100,2,93
61,2,459,Cozy House,1,29000,3,11
62,2,460,Moonlight Manor,1,62600,2,7
63,5,462,Amuse GuestHouse,1,9700,6,14
64,4,464,Cosy Cottage,1,16800,7,12
65,3,465,City Loft Inn,1,22600,2,10
66,2,468,Homely Manor,1,13500,4,11
67,3,469,Rustic Manor,1,64200,3,27
68,1,470,Balance Hotel,1,8700,1,159
69,5,472,Balance Hideaway,1,31000,4,3
70,2,474,Exalted GuestHouse,1,5500,1,7
71,2,477,Beach House Lodge,0,20600,7,9
72,2,478,Cosy Retreat,1,19100,3,12
73,1,481,Exalted Lodge,1,9000,5,88
74,5,482,Rustic Manor,1,25900,6,2
75,2,486,Serene GuestHouse,1,5200,4,9
76,4,487,Serene Hideaway,0,9700,6,2
77,4,491,Beach House House,1,37900,3,5
78,2,493,Refresh Cottage,1,22300,6,14
79,4,494,Amuse GuestHouse,1,43000,7,9
80,2,495,Mountain Retreat GuestHouse,1,54400,6,13
81,1,496,Deluxe Residence,1,16800,5,60
82,4,499,Beach House Lodge,1,7200,3,7
83,2,500,Cozy Lodge,1,23300,1,13
84,4,502,Moonlight Retreat,1,5300,5,5
85,4,101,Homely Retreat,1,21200,3,7
86,4,102,Homely Hideaway,1,46800,2,14
87,4,105,Amuse Cottage,1,64600,5,5
88,5,106,Luxury Villa House,1,6600,3,13
89,1,109,Cosy Resort,1,5400,6,118
90,2,110,Serene Lodge,1,42100,6,13
91,4,111,Deluxe GuestHouse,1,31600,1,4
92,4,112,Mountain Retreat Manor,1,54800,5,4
93,3,113,Mirage Hideaway,1,35100,6,11
94,5,114,Exquisite Hideaway,1,5800,2,10
95,4,115,Mirage Inn,1,8400,3,13
96,3,116,Refresh Haven,1,49500,6,28
97,1,118,Mirage Boutique Residence,1,7200,7,57
98,3,122,Charming House,1,17500,6,28
99,1,127,Beach House Boutique Hotel,1,35600,4,134
100,4,129,Mirage GuestHouse,1,5500,1,12
101,1,130,Amuse Boutique Hotel,1,6800,4,72
102,1,131,Cozy Boutique Hotel,1,43700,2,132
103,1,132,Serene Retreat,1,33600,3,100
104,1,133,Homely Boutique Residence,1,26900,2,95
105,4,138,Beach House Cottage,1,5300,7,13
106,4,139,Homely Haven,1,22300,7,10
107,1,140,Moonlight Lodge,1,21000,4,76
108,5,141,Rustic Retreat,1,55000,3,12
109,1,144,Luxury Villa Hotel,1,12800,1,123
110,4,145,Homely Cottage,1,10000,7,10
111,1,147,Moonlight Boutique Residence,1,26900,1,99
112,3,149,Beach House Retreat,1,5800,7,10
113,1,151,Moonlight Lodge,1,58700,5,84
114,1,153,Deluxe Boutique Hotel,1,43700,4,112
115,5,154,Cozy Cottage,1,7400,4,8
116,1,155,Cozy Hotel,1,8800,5,159
117,4,159,Charming GuestHouse,1,47900,3,11
118,2,162,Grand House,1,5200,6,5
119,4,163,Balance Inn,1,37500,7,4
120,4,164,Serene Inn,1,30300,1,6
121,5,165,Charming Hideaway,1,20800,3,4
122,3,170,Mountain Retreat Retreat,1,6800,7,29
123,5,172,Moonlight Lodge,1,29100,1,4
124,3,173,Modern Retreat,1,7000,5,11
125,4,174,Beach House Manor,1,40400,2,7
